Size,Data Type,Time (s),Iterations
100,random,5.1975250244140625e-05,595
100,almost_sorted,3.1948089599609375e-05,595
100,reversed,1.621246337890625e-05,244
302,random,0.00013709068298339844,2283
302,almost_sorted,0.000102996826171875,2146
302,reversed,6.699562072753906e-05,1329
504,random,0.0002541542053222656,3976
504,almost_sorted,0.00022125244140625,4292
504,reversed,0.00013494491577148438,2598
706,random,0.0003848075866699219,6166
706,almost_sorted,0.0003571510314941406,6671
706,reversed,0.00019884109497070312,3821
908,random,0.0005209445953369141,8010
908,almost_sorted,0.0004858970642089844,8944
908,reversed,0.0002570152282714844,4932
1110,random,0.0007250308990478516,12123
1110,almost_sorted,0.0005900859832763672,10936
1110,reversed,0.00037288665771484375,7089
1312,random,0.00081634521484375,12728
1312,almost_sorted,0.0006921291351318359,12881
1312,reversed,0.0004360675811767578,8402
1514,random,0.0010008811950683594,15953
1514,almost_sorted,0.0007660388946533203,14458
1514,reversed,0.0005018711090087891,9715
1716,random,0.004194736480712891,20739
1716,almost_sorted,0.0020799636840820312,16817
1716,reversed,0.000576019287109375,11028
1918,random,0.003834247589111328,21864
1918,almost_sorted,0.003268003463745117,18790
1918,reversed,0.0020110607147216797,12341
2120,random,0.004236936569213867,22791
2120,almost_sorted,0.00380706787109375,22456
2120,reversed,0.0025222301483154297,15646
2322,random,0.003027200698852539,27147
2322,almost_sorted,0.0013971328735351562,25240
2322,reversed,0.0009212493896484375,17161
2524,random,0.0017616748809814453,27432
2524,almost_sorted,0.0014698505401611328,27257
2524,reversed,0.0009617805480957031,18676
2726,random,0.0019919872283935547,32143
2726,almost_sorted,0.001744985580444336,29741
2726,reversed,0.0010368824005126953,20191
2928,random,0.002105236053466797,33189
2928,almost_sorted,0.0014841556549072266,28818
2928,reversed,0.001110076904296875,21706
3130,random,0.002292156219482422,36060
3130,almost_sorted,0.0017468929290771484,33027
3130,reversed,0.0011811256408691406,23221
3332,random,0.002393007278442383,37354
3332,almost_sorted,0.0018279552459716797,34834
3332,reversed,0.0014412403106689453,24736
3534,random,0.002711057662963867,43475
3534,almost_sorted,0.0021300315856933594,39611
3534,reversed,0.0013570785522460938,26251
3736,random,0.0028870105743408203,45333
3736,almost_sorted,0.002378702163696289,43931
3736,reversed,0.0014088153839111328,27781
3938,random,0.0029609203338623047,44892
3938,almost_sorted,0.002554178237915039,46770
3938,reversed,0.0015709400177001953,30766
4140,random,0.0032951831817626953,53601
4140,almost_sorted,0.002354860305786133,44909
4140,reversed,0.0017852783203125,34638
4342,random,0.0034749507904052734,52265
4342,almost_sorted,0.0029380321502685547,50837
4342,reversed,0.0018711090087890625,36397
4544,random,0.003566265106201172,57362
4544,almost_sorted,0.0027980804443359375,52418
4544,reversed,0.001989126205444336,38113
4746,random,0.003638029098510742,56858
4746,almost_sorted,0.0030820369720458984,55705
4746,reversed,0.0020341873168945312,39830
4948,random,0.0038051605224609375,59541
4948,almost_sorted,0.0027730464935302734,53440
